Part ID,Part,Color,Quantity
3004,Brick 1 x 2,Black,2
3005,Brick 1 x 1,Black,8
3022,Plate 2 x 2,Black,1
3031,Plate 4 x 4,Black,1
3062b,Round brick 1 x 1,Black,1
3958,Plate 6 x 6,Black,2
3023,Plate 1 x 2,Blue,3
3031,Plate 4 x 4,Blue,9
3004,Brick 1 x 2,Red,4
3010,Brick 1 x 4,Red,8
3622,Brick 1 x 3,Red,16
4073,Round plate 1 x 1,Yellow,1
3004,Brick 1 x 2,White,10
3010,Brick 1 x 4,White,14
3069b,Tile 1 x 2,White,4
3622,Brick 1 x 3,White,8
3958,Plate 6 x 6,White,1
3004,Brick 1 x 2,Trans Yellow,8
3004,Brick 1 x 2,Light Bluish Gray,2
3023,Plate 1 x 2,Light Bluish Gray,1
3069b,Tile 1 x 2,Light Bluish Gray,1
3958,Plate 6 x 6,Light Bluish Gray,1
3004,Brick 1 x 2,Dark Bluish Gray,1
3031,Plate 4 x 4,Dark Bluish Gray,4
